footprint,Country
0.668,US
0.688,CN
0.658,GB
0.683,SA
0.713,DE
0.671,JP
0.673,IN
0.673,BR
0.677,CA
0.676,MX
0.665,IT
0.662,FR
0.683,RU
0.682,AE
0.674,ES
0.664,AU
0.672,KR
0.673,NL
0.675,TR
0.671,ID
0.679,PL
0.679,AR
0.67,BE
0.674,SE
0.717,TW
0.672,IE
0.669,AT
0.692,IL
0.696,NO
0.686,CO
0.693,IR
0.694,CL
0.668,TH
0.674,DK
0.723,SG
0.678,ZA
0.672,RO
0.676,PH
0.672,VN
0.666,PE
0.664,EG
0.687,BD
0.687,PK
0.675,MY
0.667,HK
0.66,CH
0.662,CZ
0.677,FI
0.651,PT
0.66,KZ
0.652,DZ
0.665,IQ
0.667,NG
0.648,GR
0.65,QA
0.655,HU
0.634,LU
0.62,MC
0.644,UA
0.666,ET
0.674,DO
0.672,EC
0.673,PR
0.704,GT
0.708,CU
0.707,VE
0.702,CR
0.706,PA
0.699,UY
0.713,BO
0.785,PY
0.714,TT
0.787,HT
0.772,HN
0.778,SV
0.787,GY
0.787,JM
0.786,NI
0.79,BS
0.806,BM
0.79,BB
0.79,KY
0.643,NZ
0.634,MA
0.591,KE
0.531,AO
0.768,AX
0.527,LK
0.527,MM
0.651,KW
0.646,SK
0.55,OM
0.637,BG
0.514,NP
0.527,UZ
0.655,TZ
0.526,TM
0.707,HR
0.551,LT
0.569,CI
0.571,RS
0.568,BY
0.526,AZ
0.66,CD
0.573,SI
0.549,GH
0.524,JO
0.531,TN
0.639,UG
0.538,CM
0.509,LV
0.511,SD
0.51,LY
0.519,PG
0.51,BH
0.53,KH
0.524,EE
0.511,ZW
0.628,ZM
0.513,IS
0.513,BA
0.51,GE
0.58,XZ
0.6,XP
0.638,SN
0.343,FO
0.731,XW
0.629,CY
0.524,MO
0.588,AL
0.581,XK
0.711,GN
0.727,BF
0.711,ML
0.711,BW
0.817,CG
0.819,GA
0.679,MZ
0.679,BJ
0.819,NE
0.819,MG
0.76,GQ
0.76,MU
0.76,NA
0.552,AM
0.6,MT
0.638,MK
0.518,ME
0.82,TD
0.51,AD
0.58,MD
0.53,LB
0.53,AF
0.53,YE
0.53,PS
0.527,MN
0.578,BN
0.53,LA
0.82,RW
0.82,MW
0.82,SC